,num,start_time,end_time,use_time,topGrade,first_class,second_class,soft_sleeper,hard_sleeper,hard_seat,no_seat
0,D2567,07:50,09:40,01:50,,Y,Y,,,,N
1,D5321,09:09,10:48,01:39,,Y,Y,,,,Y
2,G623,11:28,13:15,01:47,N,13,N,,,,
3,G2239,12:08,13:39,01:31,1,1,N,,,,
4,D2581,13:17,15:19,02:02,,1,N,,,,N
5,D1637,14:49,16:36,01:47,,N,N,,,,N
